Run,Model Rank,Product Name,Prompt,Timestamp,URL,Rank in URL
1,1,Tim Hortons Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:06:26,https://cornercoffeestore.com/best-instant-coffees-canada/,1
1,2,Maxwell House Original Roast,what are the best instant coffee in Canada?,2025-04-25 18:06:31,https://cornercoffeestore.com/best-instant-coffees-canada/,2
1,3,Starbucks Via Instant True North Blend,what are the best instant coffee in Canada?,2025-04-25 18:06:40,https://cornercoffeestore.com/best-instant-coffees-canada/,3
1,4,Mount Hagen Organic Fair Trade,what are the best instant coffee in Canada?,2025-04-25 18:06:44,https://www.homegrounds.co/best-instant-coffee/,1
1,5,Nescafé Gold Espresso Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:06:49,https://cornercoffeestore.com/best-instant-coffees-canada/,4
2,1,Tim Hortons Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:08:10,https://cornercoffeestore.com/best-instant-coffees-canada/,1
2,2,Maxwell House Original Roast,what are the best instant coffee in Canada?,2025-04-25 18:08:12,https://cornercoffeestore.com/best-instant-coffees-canada/,2
2,3,Starbucks Via Instant True North Blend,what are the best instant coffee in Canada?,2025-04-25 18:08:14,https://cornercoffeestore.com/best-instant-coffees-canada/,3
2,4,Mount Hagen Organic Fair Trade,what are the best instant coffee in Canada?,2025-04-25 18:08:16,https://www.homegrounds.co/best-instant-coffee/,1
2,5,Nescafé Gold Espresso Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:08:17,https://cornercoffeestore.com/best-instant-coffees-canada/,4
3,1,Tim Hortons Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:09:01,https://cornercoffeestore.com/best-instant-coffees-canada/,1
3,2,Maxwell House Original Roast,what are the best instant coffee in Canada?,2025-04-25 18:09:03,https://cornercoffeestore.com/best-instant-coffees-canada/,2
3,3,Starbucks Via Instant True North Blend,what are the best instant coffee in Canada?,2025-04-25 18:09:05,https://cornercoffeestore.com/best-instant-coffees-canada/,3
3,4,Mount Hagen Organic Fair Trade,what are the best instant coffee in Canada?,2025-04-25 18:09:06,https://www.homegrounds.co/best-instant-coffee/,1
3,5,Nescafé Gold Espresso Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:09:09,https://cornercoffeestore.com/best-instant-coffees-canada/,4
4,1,Tim Hortons Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:10:54,https://cornercoffeestore.com/best-instant-coffees-canada/,1
4,2,Maxwell House Original Roast,what are the best instant coffee in Canada?,2025-04-25 18:10:56,https://cornercoffeestore.com/best-instant-coffees-canada/,2
4,3,Starbucks Via Instant True North Blend,what are the best instant coffee in Canada?,2025-04-25 18:10:57,https://cornercoffeestore.com/best-instant-coffees-canada/,3
4,4,Mount Hagen Organic Fair Trade,what are the best instant coffee in Canada?,2025-04-25 18:10:59,https://www.homegrounds.co/best-instant-coffee/,1
4,5,Nescafé Gold Espresso Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:11:01,https://cornercoffeestore.com/best-instant-coffees-canada/,4
5,1,Tim Hortons Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:11:32,https://cornercoffeestore.com/best-instant-coffees-canada/,1
5,2,Maxwell House Original Roast,what are the best instant coffee in Canada?,2025-04-25 18:11:32,https://cornercoffeestore.com/best-instant-coffees-canada/,2
5,3,Starbucks Via Instant True North Blend,what are the best instant coffee in Canada?,2025-04-25 18:11:34,https://cornercoffeestore.com/best-instant-coffees-canada/,3
5,4,Mount Hagen Organic Fair Trade,what are the best instant coffee in Canada?,2025-04-25 18:11:35,https://www.homegrounds.co/best-instant-coffee/,1
5,5,Nescafé Gold Espresso Instant Coffee,what are the best instant coffee in Canada?,2025-04-25 18:11:38,https://cornercoffeestore.com/best-instant-coffees-canada/,4
6,1,Tim Hortons Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:17:08,https://cornercoffeestore.com/best-instant-coffees-canada/,1
6,2,Maxwell House Original Roast,top recommended instant coffee in Canada,2025-04-25 18:17:13,https://cornercoffeestore.com/best-instant-coffees-canada/,2
6,3,Starbucks Via Instant True North Blend,top recommended instant coffee in Canada,2025-04-25 18:17:26,https://cornercoffeestore.com/best-instant-coffees-canada/,3
6,4,Nescafé Gold Espresso Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:17:39,https://cornercoffeestore.com/best-instant-coffees-canada/,4
6,5,Nescafé Rich Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:17:51,https://cornercoffeestore.com/best-instant-coffees-canada/,5
7,1,Tim Hortons Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:19:57,https://cornercoffeestore.com/best-instant-coffees-canada/,1
7,2,Maxwell House Original Roast,top recommended instant coffee in Canada,2025-04-25 18:19:58,https://cornercoffeestore.com/best-instant-coffees-canada/,2
7,2,Maxwell House Original Roast,top recommended instant coffee in Canada,2025-04-25 18:23:19,https://www.narcity.com/instant-coffee-comparison-canada,5
7,3,Starbucks Via Instant True North Blend,top recommended instant coffee in Canada,2025-04-25 18:20:00,https://cornercoffeestore.com/best-instant-coffees-canada/,3
7,4,Nescafé Gold Espresso Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:20:01,https://cornercoffeestore.com/best-instant-coffees-canada/,4
7,5,Nescafé Rich Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:20:10,https://cornercoffeestore.com/best-instant-coffees-canada/,5
8,1,Tim Hortons Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:26:01,https://cornercoffeestore.com/best-instant-coffees-canada/,1
8,2,Maxwell House Original Roast,top recommended instant coffee in Canada,2025-04-25 18:26:02,https://cornercoffeestore.com/best-instant-coffees-canada/,2
8,2,Maxwell House Original Roast,top recommended instant coffee in Canada,2025-04-25 18:26:24,https://www.narcity.com/instant-coffee-comparison-canada,5
8,3,Starbucks Via Instant True North Blend,top recommended instant coffee in Canada,2025-04-25 18:26:07,https://cornercoffeestore.com/best-instant-coffees-canada/,3
8,4,Nescafé Gold Espresso Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:26:11,https://cornercoffeestore.com/best-instant-coffees-canada/,4
8,5,Nescafé Rich Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:26:32,https://cornercoffeestore.com/best-instant-coffees-canada/,5
9,1,Tim Hortons Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:27:38,https://cornercoffeestore.com/best-instant-coffees-canada/,1
9,2,Maxwell House Original Roast,top recommended instant coffee in Canada,2025-04-25 18:27:42,https://cornercoffeestore.com/best-instant-coffees-canada/,2
