Product Title,Brand,Source URL
Dr. Elsey's Precious Cat Attract Training Litter  ,Dr. Elsey's  ,https://cats.com/best-cat-litter-in-canada【5:0†source】
Ökocat Non-Clumping Paper Pellet Litter  ,Ökocat  ,https://www.chewy.com/okocat-dust-free-paper-pellet/cat【5:6†source】
PrettyLitter Silica Gel Cat Litter  ,PrettyLitter  ,https://www.petco.com/shop/PrettyLitter-Silica-Gel/cat【5:5†source】
World's Best Multi-Cat Unscented Clumping Corn Cat Litter  ,World's Best Cat Litter  ,https://www.worldsbestcatlitter.com/multi-cat-unscented【5:5†source】
Tuft & Paw Really Great Cat Litter  ,Tuft & Paw  ,https://www.tuftandpaw.com/products/cat-litter【5:5†source】
Tidy Cats Naturally Strong Unscented Cat Litter  ,Tidy Cats  ,https://www.tidycats.com/naturally-strong-unscented【5:6†source】
Arm & Hammer Clump & Seal Platinum Cat Litter  ,Arm & Hammer  ,https://www.armandhammer.com/clump-seal-platinum【5:1†source】
Fresh Step Advanced Unscented Clumping Cat Litter  ,Fresh Step  ,https://www.freshstep.com/products/advanced-unscented-clumping【5:0†source】
Nature's Logic Non-Clumping Walnut Shell Litter  ,Nature's Logic  ,https://natureslogic.com/non-clumping-walnut-shell-litter【5:1†source】
Purina Tidy Cats LightWeight Instant Action Litter  ,Purina Tidy Cats  ,https://www.purina.com/tidy-cats/LightWeight-Instant【5:1†source】
