Unnamed: 0,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
0,kirkland signature,Kirkland Signature Pure Vanilla Extract,Vanilla Extract,"A high-quality vanilla extract with rich, pure flavor for baking.",Baking Ingredients,Costco,10.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,
1,bobs red mill,Bob's Red Mill Organic All-Purpose Flour,Organic Flour,Versatile organic flour perfect for all baking needs.,Baking Ingredients,Costco,2.0,,,,,1.0,2.0,,7.0,7.0,,,,,,
2,gold medal,Gold Medal All-Purpose Flour,All-Purpose Flour,Reliable all-purpose flour suitable for various baking recipes.,Baking Ingredients,Costco,3.0,9.0,5.0,,,3.0,3.0,,4.0,4.0,3.0,3.0,1.0,1.0,,
3,ch,C&H Granulated Sugar,Granulated Sugar,Classic granulated sugar ideal for baking and sweetening.,Baking Ingredients,Costco,4.0,,9.0,,,,,,,,,,,,6.0,
4,ghirardelli,Ghirardelli Chocolate Chips,Chocolate Chips,Premium chocolate chips for delicious cookies and desserts.,Baking Ingredients,Costco,5.0,,,,,,8.0,,,,10.0,,,,,
5,ch,Fleischmann's Active Dry Yeast,Active Dry Yeast,Reliable yeast for consistent bread baking results.,Baking Ingredients,Costco,8.0,10.0,1.0,,,9.0,5.0,,,,10.0,,,,,
6,quaker,Quaker Oats Old Fashioned Oats,Old Fashioned Oats,Heart-healthy oats great for baking and breakfast.,Baking Ingredients,Costco,8.0,,,,,9.0,10.0,,4.0,4.0,,4.0,,,,
7,nestle,Nestlé Toll House Semi-Sweet Chocolate Morsels,Chocolate Morsels,Classic semi-sweet chocolate morsels for baking treats.,Baking Ingredients,Costco,5.0,,,,,,,,,,,,5.0,5.0,,
8,king arthur,King Arthur Gluten-Free Measure for Measure Flour,Gluten-Free Flour,A gluten-free flour blend perfect for one-to-one baking substitutions.,Baking Ingredients,Costco,9.0,,,,,,,,,,,,,,,
9,arm  hammer,Arm & Hammer Pure Baking Soda,Baking Soda,Essential baking soda for leavening and cleaning purposes.,Baking Ingredients,Costco,5.0,7.0,10.0,4.0,,9.0,9.0,,5.0,5.0,10.0,2.0,,,,
10,kirkland signature,Kirkland Signature Organic Cane Sugar,Organic Cane Sugar,A high-quality organic cane sugar perfect for baking and sweetening.,Baking Ingredients,Costco,,2.0,2.0,9.0,2.0,1.0,1.0,6.0,,,1.0,4.0,,,,2.0
11,gold medal,Gold Medal All Purpose Flour,All Purpose Flour,Versatile all-purpose flour ideal for baking a variety of goods.,Baking Ingredients,Costco,2.0,,,,,2.0,9.0,,1.0,1.0,3.0,,,,,
12,bobs red mill,Bob's Red Mill Almond Flour,Almond Flour,Finely ground almond flour great for gluten-free baking.,Baking Ingredients,Costco,6.0,3.0,3.0,,2.0,3.0,3.0,,,,3.0,,,,4.0,
13,hersheys,Hershey's Cocoa Powder,Cocoa Powder,Rich cocoa powder for baking and making hot chocolate.,Baking Ingredients,Costco,4.0,10.0,8.0,6.0,,10.0,7.0,,,,7.0,6.0,,,,
14,red star,Red Star Active Dry Yeast,Active Dry Yeast,Reliable yeast for baking bread and other yeast-based recipes.,Baking Ingredients,Costco,9.0,7.0,4.0,10.0,10.0,7.0,8.0,8.0,,,8.0,8.0,,,7.0,9.0
15,domino,Domino Granulated Sugar,Granulated Sugar,Classic granulated sugar for all your baking needs.,Baking Ingredients,Costco,10.0,10.0,3.0,,4.0,5.0,9.0,,2.0,2.0,6.0,,,,,
16,pillsbury,Pillsbury Best Bread Flour,Bread Flour,High-protein bread flour perfect for baking bread.,Baking Ingredients,Costco,7.0,,,,,4.0,,,,,8.0,,6.0,6.0,,
17,land olakes,Land O'Lakes Unsalted Butter,Unsalted Butter,Creamy unsalted butter ideal for baking and cooking.,Baking Ingredients,Costco,5.0,9.0,9.0,6.0,,8.0,6.0,,9.0,9.0,6.0,,,,,7.0
18,kirkland signature,Kirkland Signature Organic Unbleached All-Purpose Flour,Kirkland Organic Flour,A versatile organic flour for various baking needs.,Baking Ingredients,Costco,,1.0,1.0,,1.0,,,,,,,,,,1.0,
19,us,U.S. Light Brown Sugar,U.S. Light Brown Sugar,Essential for richer flavor and moisture in baked goods.,Baking Ingredients,Costco,,3.0,3.0,,3.0,,,,,,,,,,5.0,
20,rodelle,Rodelle Gourmet Baking Cocoa,Rodelle Baking Cocoa,"Dutch-processed cocoa for rich, smooth chocolate desserts.",Baking Ingredients,Costco,,4.0,5.0,7.0,5.0,,,5.0,,,,,,,4.0,6.0
21,kirkland signature,Kirkland Signature Grass-Fed Butter,Kirkland Grass-Fed Butter,High-quality butter with a richer flavor from grass-fed cows.,Baking Ingredients,Costco,,2.0,4.0,,6.0,,,,,,,5.0,,,2.0,7.0
22,kirkland signature,Kirkland Signature Organic Ground Cinnamon,Kirkland Cinnamon,Organic cinnamon for enhancing flavors in baked goods.,Baking Ingredients,Costco,,7.0,8.0,,,,,9.0,,,,6.0,,,3.0,5.0
23,namaste,Namaste Gluten Free Perfect Flour Blend,Namaste Gluten-Free Flour,Versatile gluten-free flour blend for sensitive diets.,Baking Ingredients,Costco,,8.0,7.0,,7.0,,,,,,,,,,7.0,
24,nielsenmassey,Nielsen-Massey Madagascar Bourbon Pure Vanilla,Nielsen-Massey Vanilla,High-quality vanilla extract for enhancing flavors.,Baking Ingredients,Costco,7.0,5.0,6.0,3.0,7.0,9.0,6.0,3.0,,,6.0,3.0,8.0,8.0,6.0,2.0
25,clabber girl,Clabber Girl Baking Powder,Clabber Girl Baking Powder,Aluminum-free baking powder for lighter baked goods.,Baking Ingredients,Costco,8.0,7.0,10.0,,9.0,8.0,10.0,5.0,,,9.0,5.0,,,8.0,9.0
26,jif,Jif Creamy Peanut Butter,Jif Peanut Butter,Versatile creamy peanut butter for rich baked treats.,Baking Ingredients,Costco,,8.0,10.0,,10.0,,,,7.0,7.0,,,5.0,5.0,9.0,
27,namaste,Namaste Gluten-Free Perfect Flour Blend,Namaste Gluten-Free Flour,Gluten-free flour blend for diverse baking needs.,Baking Ingredients,Costco,,7.0,8.0,,7.0,,,,,,,,,,7.0,
28,rodelle,Rodelle Gourmet Baking Cocoa Powder,Baking Cocoa Powder,Premium Dutch-processed cocoa powder in a 25-ounce bag for rich chocolate flavor.,Baking Ingredients,Costco,,,,,,,,7.0,,,,7.0,,,,6.0
29,nielsenmassey,Nielsen-Massey Madagascar Bourbon Pure Vanilla Bean Paste,Vanilla Bean Paste,High-quality vanilla bean paste for intense flavor in baked goods.,Baking Ingredients,Costco,,,,8.0,,,,,,,,3.0,,,,
30,maldon,Maldon Kosher Sea Salt Flakes,Sea Salt Flakes,Gourmet finishing salt for adding texture and flavor to baked treats.,Baking Ingredients,Costco,,,,,,,,,,,,4.0,,,,
31,kirkland signature,Kirkland Signature Almond Flour,Almond Flour,Superfine blanched almond flour for gluten-free baking.,Baking Ingredients,Costco,,,,6.0,,,,7.0,,,,8.0,,,,8.0
32,ch,Fleischmann's Corn Starch,Corn Starch,Versatile thickening agent for sauces and baked goods.,Baking Ingredients,Costco,,,,,,,,,,,,7.0,,,,
33,crisco,Crisco All-Vegetable Shortening,Vegetable Shortening,"Classic baking fat for creating tender, flaky pastries and pie crusts.",Baking Ingredients,Costco,,,,,,,,,3.0,3.0,,10.0,,,,
34,ghirardelli,Ghirardelli Premium Baking Chocolate Chips,Baking Chocolate Chips,Premium chocolate chips for baking rich and delicious treats.,Baking Ingredients,Costco,4.0,,,,,5.0,6.0,,,,6.0,,,,,
35,almond breeze,Almond Breeze Unsweetened Almond Milk,Unsweetened Almond Milk,A creamy almond milk perfect as a dairy substitute in baking.,Baking Ingredients,Costco,4.0,,,,,8.0,,,,,,,,,,
36,gold medal,Gold Medal Unbleached All-Purpose Flour,Unbleached All-Purpose Flour,Reliable all-purpose flour for everyday baking needs.,Baking Ingredients,Costco,5.0,,2.0,,,4.0,3.0,,10.0,10.0,3.0,,2.0,2.0,,
